Brand,NumOrders,TotalQuantity,TotalCost,TotalPrice,TotalSales,TotalProfit
Adidas,15,15.0,359.0,920.0,920.0,437.0
Alice Olivia,5,5.0,827.0,1101.0,1101.0,220.0
Armani,20,20.0,1070.0,1946.0,1946.0,611.0
Bally,1,1.0,195.0,281.0,281.0,78.0
Banana Republic,4,4.0,140.0,180.0,180.0,8.0
Bottega Veneta,1,1.0,1050.0,1172.0,1172.0,92.0
CPB,5,5.0,754.0,1160.0,1160.0,331.0
Canada Goose,5,7.0,3952.0,4440.0,6231.0,456.0
Chantecaille,12,12.0,1561.0,2184.0,2184.0,515.0
Childlife,1,1.0,64.0,86.0,86.0,7.0
Chloe,3,3.0,1759.0,2132.0,2132.0,358.0
Club Monaco,25,25.0,3353.0,4800.0,4800.0,1132.0
Coach,2,2.0,118.0,181.0,181.0,47.0
DVF,2,2.0,371.0,540.0,540.0,146.0
Dior,5,5.0,808.0,981.0,981.0,136.0
DockAtos,1,1.0,365.0,1066.0,1066.0,523.0
Fendi,5,5.0,3075.0,3822.0,3822.0,656.0
Ferragamo,6,6.0,3743.0,6741.0,6741.0,2833.0
Gentle Monster,21,21.0,3164.0,4549.0,4549.0,1235.0
Givenchy,9,9.0,355.0,467.0,467.0,67.0
Gucci,4,4.0,1677.0,2016.0,2016.0,310.0
Independent Designer,2,2.0,110.0,154.0,154.0,34.0
Jbrand,1,1.0,208.0,258.0,258.0,35.0
Jcrew,1,1.0,4990.0,5870.0,5870.0,875.0
Jo Malone,1,1.0,116.0,155.0,155.0,31.0
KA,1,1.0,96.0,125.0,125.0,21.0
Kate Spade,1,1.0,16.0,47.0,47.0,23.0
La Prairie,3,3.0,30.0,176.0,176.0,122.0
Lamer,8,8.0,708.0,1256.0,1256.0,463.0
Louis Vuitton,2,2.0,572.0,703.0,703.0,118.0
Luna,2,2.0,64.0,110.0,110.0,33.0
MLB,1,10.0,28.0,42.0,422.0,137.0
Macy Mcooy,3,3.0,5449.6,6812.0,6812.0,1302.4
Madewell,1,1.0,76.0,139.0,139.0,48.0
Maje,42,42.0,4588.0,7817.0,7817.0,2754.0
Marc Jacobs,14,14.0,3646.0,4295.0,4295.0,579.0
Miumiu,1,1.0,2890.0,4844.0,4844.0,1904.0
Nature Made,1,1.0,138.0,200.0,200.0,23.0
Pinko,8,8.0,1660.0,2072.0,2072.0,372.0
Rebecca Minkoff,2,2.0,254.0,422.0,422.0,122.0
Redline,7,7.0,2228.0,2883.0,2883.0,608.0
Roger Vivier,4,4.0,726.0,851.0,851.0,86.0
SWA,1,1.0,121.0,170.0,170.0,44.0
Sandro,4,4.0,1148.0,1377.0,1377.0,209.0
Scotch Soda,3,3.0,114.0,306.0,306.0,147.0
Stuart Weitzman,22,22.0,6492.0,10355.0,10355.0,3386.0
Swarovski,2,2.0,223.0,281.0,281.0,48.0
Ted Baker,2,2.0,69.0,163.0,163.0,78.0
Theory,9,9.0,1281.0,1757.0,1757.0,369.0
Tiffany,6,6.0,811.0,1218.0,1218.0,359.0
Tory Burch,6,6.0,1302.0,1691.0,1691.0,283.0
Valmont,5,5.0,1096.0,1376.0,1376.0,255.0
Victoria Beckham,1,1.0,301.0,375.0,375.0,69.0
YSL,3,3.0,646.0,790.0,790.0,126.0
